timestamp,time,id,channel,temperature,humidity,strike_count,storm_dist,active,rfi,ussb1,battery,exception,raw_msg,Console (Miles)
1536264625576,2018-09-06 20:10:25,14052,B,73.4,70,17,12,1,0,1,OK,0,b6e46fc6d13a11ccb7,
1536264626081,2018-09-06 20:10:26,228,C,77,72,12,8,1,0,1,OK,0,00e46f48d1de0c489e,
1536264634507,2018-09-06 20:10:34,228,C,77,72,12,8,1,1,1,OK,0,00e46f48d1de0ce83e,
1536264641286,2018-09-06 20:10:41,14052,B,73.4,70,17,12,1,0,1,OK,0,b6e46fc6d13a11ccb7,
1536264642334,2018-09-06 20:10:42,228,C,77,72,12,8,1,0,1,OK,0,00e46f48d1de0c489e,
1536264665394,2018-09-06 20:11:05,14052,B,72.3,70,17,12,1,0,1,OK,0,b6e46fc6d1af11cc2c,
1536264666445,2018-09-06 20:11:06,228,C,77,71,12,8,1,0,1,OK,0,00e46f47d1de0c489d,
1536264674315,2018-09-06 20:11:14,228,C,76.6,73,12,8,1,0,1,OK,0,00e46fc9d15a0c489b,
1536264681665,2018-09-06 20:11:21,14052,B,72.8,70,18,12,1,0,0,OK,0,b6e46fc6d1b4120c72,9
1536264682187,2018-09-06 20:11:22,228,C,76.6,73,12,8,1,1,1,OK,0,00e46fc9d15a0ce83b,
1536264689512,2018-09-06 20:11:29,14052,B,72.8,70,18,12,1,0,0,OK,0,b6e46fc6d1b4120c72,
1536264690673,2018-09-06 20:11:30,228,C,76.6,73,12,8,1,1,1,OK,0,00e46fc9d15a0ce83b,
1536264697503,2018-09-06 20:11:37,14052,B,72.8,72,18,12,1,1,0,OK,0,b6e46f48d1b412ac94,
1536264698458,2018-09-06 20:11:38,228,C,76.6,73,12,8,1,0,1,OK,0,00e46fc9d15a0c489b,
1536264705330,2018-09-06 20:11:45,14052,B,72.8,72,18,12,1,0,0,OK,0,b6e46f48d1b4120cf4,
1536264706364,2018-09-06 20:11:46,228,C,76.6,73,12,8,1,0,1,OK,0,00e46fc9d15a0c489b,
1536264713666,2018-09-06 20:11:53,14052,B,72.8,72,18,12,1,0,0,OK,0,b6e46f48d1b4120cf4,
1536264721494,2018-09-06 20:12:01,14052,B,72.7,72,18,12,1,0,0,OK,0,b6e46f48d133120c73,
1536264737345,2018-09-06 20:12:17,14052,B,72.7,72,18,12,1,0,0,OK,0,b6e46f48d133120c73,
1536264745613,2018-09-06 20:12:25,14052,B,72.7,71,18,12,1,0,0,OK,0,b6e46f47d133120c72,
1536264753518,2018-09-06 20:12:33,14052,B,72.7,71,18,12,1,0,0,OK,0,b6e46f47d133120c72,
1536264762427,2018-09-06 20:12:42,228,C,76.6,73,13,8,1,0,0,OK,0,00e46fc9d15a8d885c,
1536264770294,2018-09-06 20:12:50,228,C,76.4,73,13,8,1,0,0,OK,0,00e46fc9d1d88d88da,
1536264777624,2018-09-06 20:12:57,14052,B,72.5,71,18,12,1,0,0,OK,0,b6e46f47d1b1120cf0,
1536264786540,2018-09-06 20:13:06,228,C,76.4,73,13,8,1,0,0,OK,0,00e46fc9d1d88d88da,
1536264793357,2018-09-06 20:13:13,14052,B,72.3,70,18,12,1,0,0,OK,0,b6e46fc6d1af120c6d,
1536264794416,2018-09-06 20:13:14,228,C,76.4,73,13,8,1,0,1,OK,0,00e46fc9d1d88d489a,
1536264801742,2018-09-06 20:13:21,14052,B,72.3,70,18,12,1,0,0,OK,0,b6e46fc6d1af120c6d,
1536264802237,2018-09-06 20:13:22,228,C,76.4,73,13,8,1,0,1,OK,0,00e46fc9d1d88d489a,
1536264809601,2018-09-06 20:13:29,14052,B,72.3,70,18,12,1,0,0,OK,0,b6e46fc6d1af120c6d,
1536264810106,2018-09-06 20:13:30,228,C,76.4,73,13,8,1,0,1,OK,0,00e46fc9d1d88d489a,
1536264817444,2018-09-06 20:13:37,14052,B,72.3,71,18,12,1,1,0,OK,0,b6e46f47d1af12ac8e,
1536264818509,2018-09-06 20:13:38,228,C,76.1,73,13,8,1,1,1,OK,0,00e46fc9d1558de8b7,
1536264825825,2018-09-06 20:13:45,14052,B,72.3,71,18,12,1,0,0,OK,0,b6e46f47d1af120cee,
1536264826354,2018-09-06 20:13:46,228,C,76.1,73,13,8,1,0,1,OK,0,00e46fc9d1558d4817,
1536264833721,2018-09-06 20:13:53,14052,B,72.3,71,18,12,1,0,0,OK,0,b6e46f47d1af120cee,
1536264841558,2018-09-06 20:14:01,14052,B,71.4,71,18,12,1,0,0,OK,0,b6e46f47d1a6120ce5,
1536264842165,2018-09-06 20:14:02,228,C,76.1,73,13,8,1,0,1,OK,0,00e46fc9d1558d4817,
1536264849446,2018-09-06 20:14:09,14052,B,71.4,71,18,12,1,1,0,OK,0,b6e46f47d1a612ac85,
1536264857291,2018-09-06 20:14:17,14052,B,71.4,71,18,12,1,0,0,OK,0,b6e46f47d1a6120ce5,
1536264858373,2018-09-06 20:14:18,228,C,76.1,73,13,8,1,0,1,OK,0,00e46fc9d1558d4817,
1536264865702,2018-09-06 20:14:25,14052,B,72.1,71,18,12,1,0,0,OK,0,b6e46f47d12d120c6c,
